"wbs";"id";"name";"start";"end";"duration";"effort";"effortdone";"effortleft";"priority";"responsible";"resources";"status";"active_sub_tasks";"open_sub_tasks";"closed_sub_tasks";"complete";"followers";"depends_on";"path_criticalness";"schedule_gauge";"cost"
"4.12.2.1";"task5.task1132.task1140.task1141";"      سفتکاری";"2017-12-07";"2017-12-09";2.0;0.0;0.0;0.0;500;"";"";"done";1;0;1;"100%";"";"";1.0;"on schedule";"80308800,00"
"4.12.2.1.1";"task5.task1132.task1140.task1141.task1142";"        آهن کشی ودیوارچینی درزژوئن لابی آسانسور بلوک 8";"2017-12-09";"2017-12-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"40154400,00"
"4.12.2.2";"task5.task1132.task1140.task1143";"      نازک کاری";"2018-02-09";"2018-02-18";9.0;0.0;0.0;0.0;500;"";"";"in progress";3;0;3;"99%";"";"";1.0;"behind schedule";"2414135848,00"
"4.12.2.2.1";"task5.task1132.task1140.task1143.task1144";"        زیرسازی سقف کاذب لابی آسانسور بلوک 8";"2018-02-18";"2018-02-18";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"22486464,00"
"4.12.2.2.2";"task5.task1132.task1140.task1143.task1145";"        نصب پنل سقف کاذب لابی آسانسور بلوک 8";"2018-02-18";"2018-02-18";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"20980692,00"
"4.12.2.2.3";"task5.task1132.task1140.task1143.task1146";"        کفسازی لابی آسانسور بلوک 8";"2018-02-18";"2018-02-18";0.0;0.0;0.0;0.0;500;"";"";"in progress";0;0;1;"99%";"";"";1.0;"behind schedule";"1163600768,00"
"4.12.3";"task5.task1132.task1147";"    سرویس های بهداشتی";"2017-10-11";"2018-05-11";212.0;0.0;0.0;0.0;500;"";"";"in progress";17;0;17;"41%";"";"";1.0;"on schedule";"2835096798,00"
"4.12.3.1";"task5.task1132.task1147.task1148";"      سفتکاری";"2017-12-03";"2017-12-11";8.0;0.0;0.0;0.0;500;"";"";"done";2;0;2;"100%";"";"";1.0;"on schedule";"301732312,00"
"4.12.3.1.1";"task5.task1132.task1147.task1148.task1149";"        شیب بندی سرویس بهداشتی بلوک 8";"2017-12-11";"2017-12-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"97441344,00"
"4.12.3.1.2";"task5.task1132.task1147.task1148.task1150";"        عایق رطوبتی سرویس بهداشتی بلوک 8";"2017-12-11";"2017-12-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"53424812,00"
"4.12.3.2";"task5.task1132.task1147.task1151";"      تاسیسات مکانیکی فاز 1";"2017-10-31";"2018-01-09";70.0;0.0;0.0;0.0;500;"";"";"done";7;0;7;"100%";"";"";1.0;"on schedule";"380633968,00"
"4.12.3.2.1";"task5.task1132.task1147.task1151.task1152";"        ساخت کانال سرویس بهداشتی بلوک 8";"2018-01-09";"2018-01-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"21415680,00"
"4.12.3.2.2";"task5.task1132.task1147.task1151.task1153";"        ساپورت زنی و شاسی کشی سرویس بهداشتی بلوک 8";"2018-01-09";"2018-01-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"34205600,00"
"4.12.3.2.3";"task5.task1132.task1147.task1151.task1154";"        نصب کانال سرویس بهداشتی بلوک 8";"2018-01-09";"2018-01-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"21415680,00"
"4.12.3.2.4";"task5.task1132.task1147.task1151.task1155";"        لوله سرد و گرم مصرفی سرویس بهداشتی بلوک 8";"2018-01-09";"2018-01-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"21415680,00"
"4.12.3.2.5";"task5.task1132.task1147.task1151.task1156";"        لوله فاضلاب و ونت سرویس بهداشتی بلوک 8";"2018-01-09";"2018-01-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"53725100,00"
"4.12.3.2.6";"task5.task1132.task1147.task1151.task1157";"        عایق لوله سرویس بهداشتی بلوک 8";"2018-01-09";"2018-01-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"33194304,00"
"4.12.3.2.7";"task5.task1132.task1147.task1151.task1158";"        تست لوله ها سرویس بهداشتی بلوک 8";"2018-01-09";"2018-01-09";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"4944940,00"
"4.12.3.3";"task5.task1132.task1147.task1159";"      تاسیسات برقی فاز 1";"2017-10-11";"2018-01-03";84.0;0.0;0.0;0.0;500;"";"";"done";3;0;3;"100%";"";"";1.0;"on schedule";"65827426,00"
"4.12.3.3.1";"task5.task1132.task1147.task1159.task1160";"        سوراخکاری و شیارزنی سرویس بهداشتی بلوک 8";"2018-01-03";"2018-01-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"1900000,00"
"4.12.3.3.2";"task5.task1132.task1147.task1159.task1161";"        لوله گذاری صوت، روشنایی و اعلام حریق سرویس بهداشتی بلوک 8";"2018-01-03";"2018-01-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"27783252,00"
"4.12.3.3.3";"task5.task1132.task1147.task1159.task1162";"        کابل کشی جریان ضعیف(تلفن) سرویس بهداشتی بلوک 8";"2018-01-03";"2018-01-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"3230461,00"
"4.12.3.4";"task5.task1132.task1147.task1163";"      نازک کاری";"2018-01-08";"2018-03-03";54.0;0.0;0.0;0.0;500;"";"";"done";5;0;5;"100%";"";"";1.0;"on schedule";"2086903092,00"
"4.12.3.4.1";"task5.task1132.task1147.task1163.task1164";"        پوشش دیوارها سرویس بهداشتی بلوک 8";"2018-03-03";"2018-03-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"207046350,00"
"4.12.3.4.2";"task5.task1132.task1147.task1163.task1165";"        زیرسازی سقف کاذب سرویس بهداشتی بلوک 8";"2018-03-03";"2018-03-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"97441344,00"
"4.12.3.4.3";"task5.task1132.task1147.task1163.task1166";"        نصب پنل سقف کاذب سرویس بهداشتی بلوک 8";"2018-03-03";"2018-03-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"90916332,00"
"4.12.3.4.4";"task5.task1132.task1147.task1163.task1167";"        نصب درب و پنجره سرویس بهداشتی بلوک 8";"2018-03-03";"2018-03-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"557700000,00"
